nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 0: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = lstm lambda = 0.0 last = False share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
	Train cost = 1.356461,	Accuracy = 0.457400
10/250  Test Acc = 0.420000
20/250  Test Acc = 0.340000
30/250  Test Acc = 0.320000
40/250  Test Acc = 0.490000
50/250  Test Acc = 0.380000
60/250  Test Acc = 0.520000
70/250  Test Acc = 0.480000
80/250  Test Acc = 0.420000
90/250  Test Acc = 0.500000
100/250  Test Acc = 0.370000
110/250  Test Acc = 0.420000
120/250  Test Acc = 0.380000
130/250  Test Acc = 0.480000
140/250  Test Acc = 0.400000
150/250  Test Acc = 0.510000
160/250  Test Acc = 0.390000
170/250  Test Acc = 0.390000
180/250  Test Acc = 0.460000
190/250  Test Acc = 0.360000
200/250  Test Acc = 0.450000
210/250  Test Acc = 0.410000
220/250  Test Acc = 0.370000
230/250  Test Acc = 0.340000
240/250  Test Acc = 0.410000
250/250  Test Acc = 0.490000
	Test cost = 1.472505,	Accuracy = 0.433840
Epoch = 9
10/250  Train Acc = 0.510000
20/250  Train Acc = 0.480000
30/250  Train Acc = 0.470000
40/250  Train Acc = 0.510000
50/250  Train Acc = 0.420000
60/250  Train Acc = 0.440000
70/250  Train Acc = 0.420000
80/250  Train Acc = 0.460000
90/250  Train Acc = 0.410000
100/250  Train Acc = 0.460000
110/250  Train Acc = 0.460000
120/250  Train Acc = 0.410000
130/250  Train Acc = 0.360000
140/250  Train Acc = 0.430000
150/250  Train Acc = 0.420000
160/250  Train Acc = 0.350000
170/250  Train Acc = 0.520000
180/250  Train Acc = 0.500000
190/250  Train Acc = 0.390000
200/250  Train Acc = 0.470000
210/250  Train Acc = 0.430000
220/250  Train Acc = 0.470000
230/250  Train Acc = 0.490000
240/250  Train Acc = 0.560000
250/250  Train Acc = 0.440000
	Train cost = 1.347329,	Accuracy = 0.465200
10/250  Test Acc = 0.430000
20/250  Test Acc = 0.370000
30/250  Test Acc = 0.330000
40/250  Test Acc = 0.470000
50/250  Test Acc = 0.390000
60/250  Test Acc = 0.530000
70/250  Test Acc = 0.470000
80/250  Test Acc = 0.440000
90/250  Test Acc = 0.520000
100/250  Test Acc = 0.390000
110/250  Test Acc = 0.420000
120/250  Test Acc = 0.390000
130/250  Test Acc = 0.470000
140/250  Test Acc = 0.380000
150/250  Test Acc = 0.520000
160/250  Test Acc = 0.400000
170/250  Test Acc = 0.390000
180/250  Test Acc = 0.460000
190/250  Test Acc = 0.370000
200/250  Test Acc = 0.430000
210/250  Test Acc = 0.390000
220/250  Test Acc = 0.380000
230/250  Test Acc = 0.310000
240/250  Test Acc = 0.390000
250/250  Test Acc = 0.460000
	Test cost = 1.455203,	Accuracy = 0.434840
Epoch = 10
10/250  Train Acc = 0.460000
20/250  Train Acc = 0.460000
30/250  Train Acc = 0.470000
40/250  Train Acc = 0.490000
50/250  Train Acc = 0.420000
60/250  Train Acc = 0.430000
70/250  Train Acc = 0.470000
80/250  Train Acc = 0.460000
90/250  Train Acc = 0.400000
100/250  Train Acc = 0.490000
110/250  Train Acc = 0.510000
120/250  Train Acc = 0.420000
130/250  Train Acc = 0.380000
140/250  Train Acc = 0.420000
150/250  Train Acc = 0.410000
160/250  Train Acc = 0.390000
170/250  Train Acc = 0.520000
180/250  Train Acc = 0.510000
190/250  Train Acc = 0.320000
200/250  Train Acc = 0.500000
210/250  Train Acc = 0.400000
220/250  Train Acc = 0.490000
230/250  Train Acc = 0.510000
240/250  Train Acc = 0.600000
250/250  Train Acc = 0.460000
	Train cost = 1.321101,	Accuracy = 0.470520
10/250  Test Acc = 0.420000
20/250  Test Acc = 0.360000
30/250  Test Acc = 0.320000
40/250  Test Acc = 0.540000
50/250  Test Acc = 0.380000
60/250  Test Acc = 0.500000
70/250  Test Acc = 0.450000
80/250  Test Acc = 0.430000
90/250  Test Acc = 0.490000
100/250  Test Acc = 0.390000
110/250  Test Acc = 0.360000
120/250  Test Acc = 0.340000
130/250  Test Acc = 0.480000
140/250  Test Acc = 0.400000
150/250  Test Acc = 0.540000
160/250  Test Acc = 0.390000
170/250  Test Acc = 0.380000
180/250  Test Acc = 0.440000
190/250  Test Acc = 0.370000
200/250  Test Acc = 0.440000
210/250  Test Acc = 0.460000
220/250  Test Acc = 0.390000
230/250  Test Acc = 0.300000
240/250  Test Acc = 0.420000
250/250  Test Acc = 0.430000
	Test cost = 1.484378,	Accuracy = 0.433360
Best Epoch = 9, Best MAE/ACC in Test = 0.434840
Written to results/lstm_drop_0.0_lamb_0.0_fine.txt
