nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

WARNING (theano.gof.compilelock): Overriding existing lock by dead process '62925' (I am process '63143')
Using gpu device 3: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = lstm lambda = 0.0 last = True share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
120/250  Test Acc = 0.290000
130/250  Test Acc = 0.380000
140/250  Test Acc = 0.410000
150/250  Test Acc = 0.380000
160/250  Test Acc = 0.350000
170/250  Test Acc = 0.340000
180/250  Test Acc = 0.360000
190/250  Test Acc = 0.280000
200/250  Test Acc = 0.290000
210/250  Test Acc = 0.420000
220/250  Test Acc = 0.290000
230/250  Test Acc = 0.420000
240/250  Test Acc = 0.360000
250/250  Test Acc = 0.380000
	Test cost = 1.657977,	Accuracy = 0.373920
Epoch = 6
10/250  Train Acc = 0.430000
20/250  Train Acc = 0.410000
30/250  Train Acc = 0.370000
40/250  Train Acc = 0.340000
50/250  Train Acc = 0.500000
60/250  Train Acc = 0.340000
70/250  Train Acc = 0.390000
80/250  Train Acc = 0.440000
90/250  Train Acc = 0.250000
100/250  Train Acc = 0.510000
110/250  Train Acc = 0.490000
120/250  Train Acc = 0.380000
130/250  Train Acc = 0.350000
140/250  Train Acc = 0.400000
150/250  Train Acc = 0.470000
160/250  Train Acc = 0.300000
170/250  Train Acc = 0.500000
180/250  Train Acc = 0.320000
190/250  Train Acc = 0.350000
200/250  Train Acc = 0.360000
210/250  Train Acc = 0.450000
220/250  Train Acc = 0.430000
230/250  Train Acc = 0.330000
240/250  Train Acc = 0.470000
250/250  Train Acc = 0.500000
	Train cost = 1.554990,	Accuracy = 0.419880
