nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = False #class = 2 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
20/250  Train Acc = 1.000000
30/250  Train Acc = 1.000000
40/250  Train Acc = 1.000000
50/250  Train Acc = 1.000000
60/250  Train Acc = 1.000000
70/250  Train Acc = 1.000000
80/250  Train Acc = 1.000000
90/250  Train Acc = 1.000000
100/250  Train Acc = 1.000000
110/250  Train Acc = 1.000000
120/250  Train Acc = 1.000000
130/250  Train Acc = 1.000000
140/250  Train Acc = 1.000000
150/250  Train Acc = 1.000000
160/250  Train Acc = 1.000000
170/250  Train Acc = 1.000000
180/250  Train Acc = 1.000000
190/250  Train Acc = 1.000000
200/250  Train Acc = 1.000000
210/250  Train Acc = 1.000000
220/250  Train Acc = 1.000000
230/250  Train Acc = 0.990000
240/250  Train Acc = 1.000000
250/250  Train Acc = 0.990000
	Train cost = 0.007353,	Accuracy = 0.998360
10/250  Test Acc = 0.860000
20/250  Test Acc = 0.850000
30/250  Test Acc = 0.870000
40/250  Test Acc = 0.870000
50/250  Test Acc = 0.850000
60/250  Test Acc = 0.800000
70/250  Test Acc = 0.900000
80/250  Test Acc = 0.890000
90/250  Test Acc = 0.840000
100/250  Test Acc = 0.890000
110/250  Test Acc = 0.890000
120/250  Test Acc = 0.820000
130/250  Test Acc = 0.940000
140/250  Test Acc = 0.910000
150/250  Test Acc = 0.850000
160/250  Test Acc = 0.860000
170/250  Test Acc = 0.880000
180/250  Test Acc = 0.850000
190/250  Test Acc = 0.870000
200/250  Test Acc = 0.930000
210/250  Test Acc = 0.860000
220/250  Test Acc = 0.890000
230/250  Test Acc = 0.900000
240/250  Test Acc = 0.840000
250/250  Test Acc = 0.910000
	Test cost = 0.565427,	Accuracy = 0.878280
Epoch = 9
10/250  Train Acc = 1.000000
20/250  Train Acc = 1.000000
30/250  Train Acc = 1.000000
40/250  Train Acc = 1.000000
50/250  Train Acc = 1.000000
60/250  Train Acc = 1.000000
70/250  Train Acc = 1.000000
80/250  Train Acc = 1.000000
90/250  Train Acc = 1.000000
100/250  Train Acc = 1.000000
110/250  Train Acc = 1.000000
120/250  Train Acc = 0.990000
130/250  Train Acc = 1.000000
140/250  Train Acc = 1.000000
150/250  Train Acc = 1.000000
160/250  Train Acc = 1.000000
170/250  Train Acc = 1.000000
180/250  Train Acc = 1.000000
190/250  Train Acc = 1.000000
200/250  Train Acc = 1.000000
210/250  Train Acc = 1.000000
220/250  Train Acc = 1.000000
230/250  Train Acc = 1.000000
240/250  Train Acc = 1.000000
250/250  Train Acc = 1.000000
	Train cost = 0.005317,	Accuracy = 0.998880
10/250  Test Acc = 0.850000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.940000
40/250  Test Acc = 0.880000
50/250  Test Acc = 0.820000
60/250  Test Acc = 0.830000
70/250  Test Acc = 0.920000
80/250  Test Acc = 0.910000
90/250  Test Acc = 0.840000
100/250  Test Acc = 0.860000
110/250  Test Acc = 0.890000
120/250  Test Acc = 0.870000
130/250  Test Acc = 0.940000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.850000
160/250  Test Acc = 0.890000
170/250  Test Acc = 0.930000
180/250  Test Acc = 0.910000
190/250  Test Acc = 0.900000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.890000
220/250  Test Acc = 0.880000
230/250  Test Acc = 0.890000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.910000
	Test cost = 0.640226,	Accuracy = 0.886920
Epoch = 10
10/250  Train Acc = 1.000000
20/250  Train Acc = 1.000000
30/250  Train Acc = 1.000000
40/250  Train Acc = 1.000000
50/250  Train Acc = 1.000000
60/250  Train Acc = 1.000000
70/250  Train Acc = 1.000000
80/250  Train Acc = 1.000000
90/250  Train Acc = 1.000000
100/250  Train Acc = 1.000000
110/250  Train Acc = 1.000000
120/250  Train Acc = 1.000000
130/250  Train Acc = 1.000000
140/250  Train Acc = 1.000000
150/250  Train Acc = 1.000000
160/250  Train Acc = 1.000000
170/250  Train Acc = 1.000000
180/250  Train Acc = 1.000000
190/250  Train Acc = 1.000000
200/250  Train Acc = 1.000000
210/250  Train Acc = 1.000000
220/250  Train Acc = 1.000000
230/250  Train Acc = 1.000000
240/250  Train Acc = 1.000000
250/250  Train Acc = 1.000000
	Train cost = 0.001526,	Accuracy = 0.999840
10/250  Test Acc = 0.850000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.930000
40/250  Test Acc = 0.890000
50/250  Test Acc = 0.820000
60/250  Test Acc = 0.830000
70/250  Test Acc = 0.910000
80/250  Test Acc = 0.910000
90/250  Test Acc = 0.840000
100/250  Test Acc = 0.840000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.860000
130/250  Test Acc = 0.940000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.840000
160/250  Test Acc = 0.870000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.890000
190/250  Test Acc = 0.880000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.880000
220/250  Test Acc = 0.870000
230/250  Test Acc = 0.900000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.930000
	Test cost = 0.678346,	Accuracy = 0.887800
Best Epoch = 2, Best MAE/ACC in Test = 0.901840
Written to results/parnn_drop_0.0_lamb_0.0_hid_256.txt
