nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
40/250  Train Acc = 0.850000
50/250  Train Acc = 0.900000
60/250  Train Acc = 0.920000
70/250  Train Acc = 0.880000
80/250  Train Acc = 0.880000
90/250  Train Acc = 0.880000
100/250  Train Acc = 0.850000
110/250  Train Acc = 0.920000
120/250  Train Acc = 0.910000
130/250  Train Acc = 0.910000
140/250  Train Acc = 0.830000
150/250  Train Acc = 0.900000
160/250  Train Acc = 0.810000
170/250  Train Acc = 0.900000
180/250  Train Acc = 0.870000
190/250  Train Acc = 0.830000
200/250  Train Acc = 0.930000
210/250  Train Acc = 0.940000
220/250  Train Acc = 0.830000
230/250  Train Acc = 0.860000
240/250  Train Acc = 0.940000
250/250  Train Acc = 0.800000
	Train cost = 0.271028,	Accuracy = 0.882600
10/250  Test Acc = 0.940000
20/250  Test Acc = 0.920000
30/250  Test Acc = 0.880000
40/250  Test Acc = 0.880000
50/250  Test Acc = 0.910000
60/250  Test Acc = 0.860000
70/250  Test Acc = 0.890000
80/250  Test Acc = 0.920000
90/250  Test Acc = 0.840000
100/250  Test Acc = 0.860000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.960000
130/250  Test Acc = 0.880000
140/250  Test Acc = 0.880000
150/250  Test Acc = 0.950000
160/250  Test Acc = 0.880000
170/250  Test Acc = 0.910000
180/250  Test Acc = 0.950000
190/250  Test Acc = 0.910000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.910000
220/250  Test Acc = 0.920000
230/250  Test Acc = 0.920000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.890000
	Test cost = 0.241398,	Accuracy = 0.902800
Epoch = 3
10/250  Train Acc = 0.860000
20/250  Train Acc = 0.920000
30/250  Train Acc = 0.910000
40/250  Train Acc = 0.900000
50/250  Train Acc = 0.910000
60/250  Train Acc = 0.920000
70/250  Train Acc = 0.930000
80/250  Train Acc = 0.900000
90/250  Train Acc = 0.940000
100/250  Train Acc = 0.860000
110/250  Train Acc = 0.940000
120/250  Train Acc = 0.930000
130/250  Train Acc = 0.880000
140/250  Train Acc = 0.870000
150/250  Train Acc = 0.950000
160/250  Train Acc = 0.870000
170/250  Train Acc = 0.890000
180/250  Train Acc = 0.870000
190/250  Train Acc = 0.870000
200/250  Train Acc = 0.920000
210/250  Train Acc = 0.920000
220/250  Train Acc = 0.860000
230/250  Train Acc = 0.880000
240/250  Train Acc = 0.960000
250/250  Train Acc = 0.770000
	Train cost = 0.230276,	Accuracy = 0.902360
10/250  Test Acc = 0.950000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.900000
40/250  Test Acc = 0.900000
50/250  Test Acc = 0.910000
60/250  Test Acc = 0.840000
70/250  Test Acc = 0.850000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.850000
110/250  Test Acc = 0.930000
120/250  Test Acc = 0.970000
130/250  Test Acc = 0.880000
140/250  Test Acc = 0.880000
150/250  Test Acc = 0.940000
160/250  Test Acc = 0.870000
170/250  Test Acc = 0.870000
180/250  Test Acc = 0.970000
190/250  Test Acc = 0.930000
200/250  Test Acc = 0.930000
210/250  Test Acc = 0.910000
220/250  Test Acc = 0.930000
230/250  Test Acc = 0.910000
240/250  Test Acc = 0.890000
250/250  Test Acc = 0.900000
	Test cost = 0.246611,	Accuracy = 0.900800
Epoch = 4
10/250  Train Acc = 0.880000
20/250  Train Acc = 0.960000
30/250  Train Acc = 0.920000
40/250  Train Acc = 0.910000
50/250  Train Acc = 0.910000
60/250  Train Acc = 0.950000
70/250  Train Acc = 0.920000
80/250  Train Acc = 0.920000
90/250  Train Acc = 0.940000
100/250  Train Acc = 0.890000
110/250  Train Acc = 0.930000
120/250  Train Acc = 0.930000
130/250  Train Acc = 0.950000
140/250  Train Acc = 0.900000
150/250  Train Acc = 0.910000
160/250  Train Acc = 0.910000
170/250  Train Acc = 0.940000
180/250  Train Acc = 0.940000
190/250  Train Acc = 0.870000
200/250  Train Acc = 0.930000
210/250  Train Acc = 0.910000
220/250  Train Acc = 0.880000
230/250  Train Acc = 0.970000
240/250  Train Acc = 0.960000
250/250  Train Acc = 0.790000
	Train cost = 0.195600,	Accuracy = 0.916800
10/250  Test Acc = 0.940000
20/250  Test Acc = 0.910000
30/250  Test Acc = 0.880000
40/250  Test Acc = 0.900000
50/250  Test Acc = 0.930000
60/250  Test Acc = 0.840000
70/250  Test Acc = 0.870000
80/250  Test Acc = 0.920000
90/250  Test Acc = 0.840000
100/250  Test Acc = 0.850000
110/250  Test Acc = 0.930000
120/250  Test Acc = 0.970000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.890000
150/250  Test Acc = 0.940000
160/250  Test Acc = 0.870000
170/250  Test Acc = 0.870000
180/250  Test Acc = 0.940000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.900000
220/250  Test Acc = 0.930000
230/250  Test Acc = 0.900000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.900000
	Test cost = 0.258315,	Accuracy = 0.901840
Epoch = 5
10/250  Train Acc = 0.930000
20/250  Train Acc = 0.940000
30/250  Train Acc = 0.930000
40/250  Train Acc = 0.910000
50/250  Train Acc = 0.970000
60/250  Train Acc = 0.970000
70/250  Train Acc = 0.960000
80/250  Train Acc = 0.890000
90/250  Train Acc = 0.970000
100/250  Train Acc = 0.910000
110/250  Train Acc = 0.950000
120/250  Train Acc = 0.910000
130/250  Train Acc = 0.990000
140/250  Train Acc = 0.920000
150/250  Train Acc = 0.910000
160/250  Train Acc = 0.920000
170/250  Train Acc = 0.900000
180/250  Train Acc = 0.880000
190/250  Train Acc = 0.930000
200/250  Train Acc = 0.930000
210/250  Train Acc = 0.930000
220/250  Train Acc = 0.910000
230/250  Train Acc = 0.960000
240/250  Train Acc = 0.920000
250/250  Train Acc = 0.830000
	Train cost = 0.169940,	Accuracy = 0.926840
10/250  Test Acc = 0.920000
20/250  Test Acc = 0.930000
30/250  Test Acc = 0.880000
40/250  Test Acc = 0.890000
50/250  Test Acc = 0.900000
60/250  Test Acc = 0.890000
70/250  Test Acc = 0.870000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.930000
120/250  Test Acc = 0.970000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.860000
150/250  Test Acc = 0.920000
160/250  Test Acc = 0.900000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.950000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.950000
210/250  Test Acc = 0.920000
220/250  Test Acc = 0.940000
230/250  Test Acc = 0.900000
240/250  Test Acc = 0.880000
250/250  Test Acc = 0.890000
	Test cost = 0.269977,	Accuracy = 0.901480
Epoch = 6
10/250  Train Acc = 0.930000
20/250  Train Acc = 0.930000
30/250  Train Acc = 0.940000
40/250  Train Acc = 0.940000
50/250  Train Acc = 0.960000
60/250  Train Acc = 0.970000
70/250  Train Acc = 0.930000
80/250  Train Acc = 0.960000
90/250  Train Acc = 0.920000
100/250  Train Acc = 0.920000
110/250  Train Acc = 0.970000
120/250  Train Acc = 0.960000
130/250  Train Acc = 0.960000
140/250  Train Acc = 0.940000
150/250  Train Acc = 0.930000
160/250  Train Acc = 0.900000
170/250  Train Acc = 0.930000
180/250  Train Acc = 0.930000
190/250  Train Acc = 0.940000
200/250  Train Acc = 0.950000
210/250  Train Acc = 0.960000
220/250  Train Acc = 0.920000
230/250  Train Acc = 0.950000
240/250  Train Acc = 0.960000
250/250  Train Acc = 0.810000
	Train cost = 0.143873,	Accuracy = 0.937600
10/250  Test Acc = 0.920000
20/250  Test Acc = 0.940000
30/250  Test Acc = 0.870000
40/250  Test Acc = 0.910000
50/250  Test Acc = 0.880000
60/250  Test Acc = 0.860000
70/250  Test Acc = 0.890000
80/250  Test Acc = 0.940000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.950000
130/250  Test Acc = 0.900000
140/250  Test Acc = 0.860000
150/250  Test Acc = 0.950000
160/250  Test Acc = 0.890000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.940000
190/250  Test Acc = 0.960000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.910000
230/250  Test Acc = 0.890000
240/250  Test Acc = 0.850000
250/250  Test Acc = 0.870000
	Test cost = 0.275561,	Accuracy = 0.902080
Epoch = 7
10/250  Train Acc = 0.910000
20/250  Train Acc = 0.950000
30/250  Train Acc = 0.940000
40/250  Train Acc = 0.960000
50/250  Train Acc = 0.970000
60/250  Train Acc = 0.960000
70/250  Train Acc = 0.920000
80/250  Train Acc = 0.950000
90/250  Train Acc = 0.960000
100/250  Train Acc = 0.910000
110/250  Train Acc = 0.960000
120/250  Train Acc = 0.940000
130/250  Train Acc = 0.950000
140/250  Train Acc = 0.930000
150/250  Train Acc = 0.910000
160/250  Train Acc = 0.940000
170/250  Train Acc = 0.930000
180/250  Train Acc = 0.950000
190/250  Train Acc = 0.940000
200/250  Train Acc = 0.970000
210/250  Train Acc = 0.970000
220/250  Train Acc = 0.930000
230/250  Train Acc = 0.960000
240/250  Train Acc = 0.960000
250/250  Train Acc = 0.880000
	Train cost = 0.121061,	Accuracy = 0.945560
10/250  Test Acc = 0.910000
20/250  Test Acc = 0.910000
30/250  Test Acc = 0.860000
40/250  Test Acc = 0.890000
50/250  Test Acc = 0.890000
60/250  Test Acc = 0.850000
70/250  Test Acc = 0.880000
80/250  Test Acc = 0.940000
90/250  Test Acc = 0.870000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.920000
120/250  Test Acc = 0.950000
130/250  Test Acc = 0.910000
140/250  Test Acc = 0.850000
150/250  Test Acc = 0.940000
160/250  Test Acc = 0.900000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.940000
190/250  Test Acc = 0.970000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.910000
220/250  Test Acc = 0.890000
230/250  Test Acc = 0.870000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.900000
	Test cost = 0.301185,	Accuracy = 0.901120
Epoch = 8
10/250  Train Acc = 0.920000
20/250  Train Acc = 0.940000
30/250  Train Acc = 0.970000
40/250  Train Acc = 0.950000
50/250  Train Acc = 0.940000
60/250  Train Acc = 0.940000
70/250  Train Acc = 0.960000
80/250  Train Acc = 0.930000
90/250  Train Acc = 0.980000
100/250  Train Acc = 0.860000
110/250  Train Acc = 1.000000
120/250  Train Acc = 0.970000
130/250  Train Acc = 0.990000
140/250  Train Acc = 0.930000
150/250  Train Acc = 0.990000
160/250  Train Acc = 0.940000
170/250  Train Acc = 0.970000
180/250  Train Acc = 0.970000
190/250  Train Acc = 0.940000
200/250  Train Acc = 0.950000
210/250  Train Acc = 0.960000
220/250  Train Acc = 0.940000
230/250  Train Acc = 0.970000
240/250  Train Acc = 0.930000
250/250  Train Acc = 0.890000
	Train cost = 0.110253,	Accuracy = 0.949840
10/250  Test Acc = 0.930000
20/250  Test Acc = 0.910000
30/250  Test Acc = 0.870000
40/250  Test Acc = 0.890000
50/250  Test Acc = 0.930000
60/250  Test Acc = 0.860000
70/250  Test Acc = 0.890000
80/250  Test Acc = 0.950000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.860000
110/250  Test Acc = 0.930000
120/250  Test Acc = 0.960000
130/250  Test Acc = 0.910000
140/250  Test Acc = 0.870000
150/250  Test Acc = 0.950000
160/250  Test Acc = 0.860000
170/250  Test Acc = 0.870000
180/250  Test Acc = 0.960000
190/250  Test Acc = 0.950000
200/250  Test Acc = 0.950000
210/250  Test Acc = 0.920000
220/250  Test Acc = 0.930000
230/250  Test Acc = 0.910000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.910000
	Test cost = 0.354093,	Accuracy = 0.895680
Epoch = 9
10/250  Train Acc = 0.940000
20/250  Train Acc = 0.970000
30/250  Train Acc = 0.940000
40/250  Train Acc = 0.950000
50/250  Train Acc = 0.960000
60/250  Train Acc = 0.950000
70/250  Train Acc = 0.930000
80/250  Train Acc = 0.960000
90/250  Train Acc = 0.940000
100/250  Train Acc = 0.930000
110/250  Train Acc = 0.940000
120/250  Train Acc = 0.960000
130/250  Train Acc = 0.970000
140/250  Train Acc = 0.960000
150/250  Train Acc = 0.940000
160/250  Train Acc = 0.950000
170/250  Train Acc = 0.960000
180/250  Train Acc = 0.960000
190/250  Train Acc = 0.900000
200/250  Train Acc = 0.930000
210/250  Train Acc = 0.940000
220/250  Train Acc = 0.940000
230/250  Train Acc = 0.930000
240/250  Train Acc = 0.970000
250/250  Train Acc = 0.840000
	Train cost = 0.098440,	Accuracy = 0.952680
10/250  Test Acc = 0.920000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.860000
50/250  Test Acc = 0.910000
60/250  Test Acc = 0.880000
70/250  Test Acc = 0.900000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.930000
120/250  Test Acc = 0.960000
130/250  Test Acc = 0.920000
140/250  Test Acc = 0.880000
150/250  Test Acc = 0.940000
160/250  Test Acc = 0.850000
170/250  Test Acc = 0.850000
180/250  Test Acc = 0.940000
190/250  Test Acc = 0.930000
200/250  Test Acc = 0.940000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.900000
230/250  Test Acc = 0.880000
240/250  Test Acc = 0.860000
250/250  Test Acc = 0.910000
	Test cost = 0.364102,	Accuracy = 0.894600
Epoch = 10
10/250  Train Acc = 0.960000
20/250  Train Acc = 0.940000
30/250  Train Acc = 0.990000
40/250  Train Acc = 0.930000
50/250  Train Acc = 0.910000
60/250  Train Acc = 0.940000
70/250  Train Acc = 0.970000
80/250  Train Acc = 0.970000
90/250  Train Acc = 0.910000
100/250  Train Acc = 0.950000
110/250  Train Acc = 0.970000
120/250  Train Acc = 0.920000
130/250  Train Acc = 0.940000
140/250  Train Acc = 0.930000
150/250  Train Acc = 0.950000
160/250  Train Acc = 0.970000
170/250  Train Acc = 0.950000
180/250  Train Acc = 0.950000
190/250  Train Acc = 0.940000
200/250  Train Acc = 0.940000
210/250  Train Acc = 0.980000
220/250  Train Acc = 0.950000
230/250  Train Acc = 0.910000
240/250  Train Acc = 0.950000
250/250  Train Acc = 0.910000
	Train cost = 0.091773,	Accuracy = 0.955240
10/250  Test Acc = 0.930000
20/250  Test Acc = 0.890000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.880000
50/250  Test Acc = 0.910000
60/250  Test Acc = 0.860000
70/250  Test Acc = 0.880000
80/250  Test Acc = 0.940000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.950000
120/250  Test Acc = 0.960000
130/250  Test Acc = 0.900000
140/250  Test Acc = 0.880000
150/250  Test Acc = 0.940000
160/250  Test Acc = 0.850000
170/250  Test Acc = 0.850000
180/250  Test Acc = 0.950000
190/250  Test Acc = 0.950000
200/250  Test Acc = 0.950000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.920000
230/250  Test Acc = 0.870000
240/250  Test Acc = 0.840000
250/250  Test Acc = 0.910000
	Test cost = 0.367038,	Accuracy = 0.895600
Best Epoch = 2, Best MAE/ACC in Test = 0.902800
Written to results/parnn_drop_0.25_lamb_0.0_hid_128.txt
