nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
40/250  Train Acc = 0.840000
50/250  Train Acc = 0.810000
60/250  Train Acc = 0.880000
70/250  Train Acc = 0.770000
80/250  Train Acc = 0.780000
90/250  Train Acc = 0.840000
100/250  Train Acc = 0.760000
110/250  Train Acc = 0.780000
120/250  Train Acc = 0.750000
130/250  Train Acc = 0.860000
140/250  Train Acc = 0.810000
150/250  Train Acc = 0.720000
160/250  Train Acc = 0.760000
170/250  Train Acc = 0.770000
180/250  Train Acc = 0.760000
190/250  Train Acc = 0.760000
200/250  Train Acc = 0.770000
210/250  Train Acc = 0.820000
220/250  Train Acc = 0.830000
230/250  Train Acc = 0.830000
240/250  Train Acc = 0.740000
250/250  Train Acc = 0.810000
	Train cost = 0.391929,	Accuracy = 0.790840
10/250  Test Acc = 0.930000
20/250  Test Acc = 0.910000
30/250  Test Acc = 0.820000
40/250  Test Acc = 0.850000
50/250  Test Acc = 0.850000
60/250  Test Acc = 0.890000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.850000
90/250  Test Acc = 0.850000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.890000
120/250  Test Acc = 0.870000
130/250  Test Acc = 0.930000
140/250  Test Acc = 0.880000
150/250  Test Acc = 0.880000
160/250  Test Acc = 0.860000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.870000
190/250  Test Acc = 0.930000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.960000
230/250  Test Acc = 0.890000
240/250  Test Acc = 0.870000
250/250  Test Acc = 0.930000
	Test cost = 0.266570,	Accuracy = 0.889480
Epoch = 3
10/250  Train Acc = 0.810000
20/250  Train Acc = 0.730000
30/250  Train Acc = 0.790000
40/250  Train Acc = 0.840000
50/250  Train Acc = 0.880000
60/250  Train Acc = 0.840000
70/250  Train Acc = 0.800000
80/250  Train Acc = 0.790000
90/250  Train Acc = 0.840000
100/250  Train Acc = 0.770000
110/250  Train Acc = 0.790000
120/250  Train Acc = 0.760000
130/250  Train Acc = 0.850000
140/250  Train Acc = 0.810000
150/250  Train Acc = 0.770000
160/250  Train Acc = 0.750000
170/250  Train Acc = 0.830000
180/250  Train Acc = 0.850000
190/250  Train Acc = 0.820000
200/250  Train Acc = 0.790000
210/250  Train Acc = 0.770000
220/250  Train Acc = 0.780000
230/250  Train Acc = 0.750000
240/250  Train Acc = 0.790000
250/250  Train Acc = 0.840000
	Train cost = 0.364360,	Accuracy = 0.802400
10/250  Test Acc = 0.960000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.850000
40/250  Test Acc = 0.850000
50/250  Test Acc = 0.850000
60/250  Test Acc = 0.880000
70/250  Test Acc = 0.870000
80/250  Test Acc = 0.850000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.890000
120/250  Test Acc = 0.880000
130/250  Test Acc = 0.930000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.880000
160/250  Test Acc = 0.830000
170/250  Test Acc = 0.910000
180/250  Test Acc = 0.870000
190/250  Test Acc = 0.950000
200/250  Test Acc = 0.920000
210/250  Test Acc = 0.940000
220/250  Test Acc = 0.940000
230/250  Test Acc = 0.900000
240/250  Test Acc = 0.880000
250/250  Test Acc = 0.960000
	Test cost = 0.251472,	Accuracy = 0.896240
Epoch = 4
10/250  Train Acc = 0.710000
20/250  Train Acc = 0.850000
30/250  Train Acc = 0.840000
40/250  Train Acc = 0.850000
50/250  Train Acc = 0.780000
60/250  Train Acc = 0.880000
70/250  Train Acc = 0.810000
80/250  Train Acc = 0.800000
90/250  Train Acc = 0.860000
100/250  Train Acc = 0.870000
110/250  Train Acc = 0.750000
120/250  Train Acc = 0.810000
130/250  Train Acc = 0.850000
140/250  Train Acc = 0.810000
150/250  Train Acc = 0.820000
160/250  Train Acc = 0.780000
170/250  Train Acc = 0.830000
180/250  Train Acc = 0.840000
190/250  Train Acc = 0.790000
200/250  Train Acc = 0.760000
210/250  Train Acc = 0.800000
220/250  Train Acc = 0.810000
230/250  Train Acc = 0.890000
240/250  Train Acc = 0.800000
250/250  Train Acc = 0.780000
	Train cost = 0.345053,	Accuracy = 0.812600
10/250  Test Acc = 0.930000
20/250  Test Acc = 0.890000
30/250  Test Acc = 0.860000
40/250  Test Acc = 0.870000
50/250  Test Acc = 0.870000
60/250  Test Acc = 0.900000
70/250  Test Acc = 0.870000
80/250  Test Acc = 0.850000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.890000
120/250  Test Acc = 0.880000
130/250  Test Acc = 0.930000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.860000
160/250  Test Acc = 0.850000
170/250  Test Acc = 0.910000
180/250  Test Acc = 0.880000
190/250  Test Acc = 0.940000
200/250  Test Acc = 0.900000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.970000
230/250  Test Acc = 0.910000
240/250  Test Acc = 0.890000
250/250  Test Acc = 0.950000
	Test cost = 0.244949,	Accuracy = 0.899200
Epoch = 5
10/250  Train Acc = 0.810000
20/250  Train Acc = 0.830000
30/250  Train Acc = 0.820000
40/250  Train Acc = 0.810000
50/250  Train Acc = 0.820000
60/250  Train Acc = 0.910000
70/250  Train Acc = 0.790000
80/250  Train Acc = 0.780000
90/250  Train Acc = 0.810000
100/250  Train Acc = 0.750000
110/250  Train Acc = 0.760000
120/250  Train Acc = 0.810000
130/250  Train Acc = 0.850000
140/250  Train Acc = 0.910000
150/250  Train Acc = 0.820000
160/250  Train Acc = 0.790000
170/250  Train Acc = 0.850000
180/250  Train Acc = 0.780000
190/250  Train Acc = 0.770000
200/250  Train Acc = 0.810000
210/250  Train Acc = 0.850000
220/250  Train Acc = 0.850000
230/250  Train Acc = 0.860000
240/250  Train Acc = 0.820000
250/250  Train Acc = 0.850000
	Train cost = 0.331650,	Accuracy = 0.818520
10/250  Test Acc = 0.940000
20/250  Test Acc = 0.880000
30/250  Test Acc = 0.870000
40/250  Test Acc = 0.860000
50/250  Test Acc = 0.860000
60/250  Test Acc = 0.890000
70/250  Test Acc = 0.890000
80/250  Test Acc = 0.890000
90/250  Test Acc = 0.820000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.880000
120/250  Test Acc = 0.860000
130/250  Test Acc = 0.930000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.870000
160/250  Test Acc = 0.870000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.870000
190/250  Test Acc = 0.940000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.960000
230/250  Test Acc = 0.920000
240/250  Test Acc = 0.870000
250/250  Test Acc = 0.950000
	Test cost = 0.254217,	Accuracy = 0.895000
Epoch = 6
10/250  Train Acc = 0.800000
20/250  Train Acc = 0.800000
30/250  Train Acc = 0.810000
40/250  Train Acc = 0.830000
50/250  Train Acc = 0.790000
60/250  Train Acc = 0.820000
70/250  Train Acc = 0.800000
80/250  Train Acc = 0.800000
90/250  Train Acc = 0.850000
100/250  Train Acc = 0.860000
110/250  Train Acc = 0.780000
120/250  Train Acc = 0.790000
130/250  Train Acc = 0.910000
140/250  Train Acc = 0.870000
150/250  Train Acc = 0.860000
160/250  Train Acc = 0.840000
170/250  Train Acc = 0.810000
180/250  Train Acc = 0.870000
190/250  Train Acc = 0.830000
200/250  Train Acc = 0.820000
210/250  Train Acc = 0.800000
220/250  Train Acc = 0.860000
230/250  Train Acc = 0.840000
240/250  Train Acc = 0.840000
250/250  Train Acc = 0.840000
	Train cost = 0.321579,	Accuracy = 0.823640
10/250  Test Acc = 0.970000
20/250  Test Acc = 0.910000
30/250  Test Acc = 0.860000
40/250  Test Acc = 0.870000
50/250  Test Acc = 0.870000
60/250  Test Acc = 0.890000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.880000
90/250  Test Acc = 0.890000
100/250  Test Acc = 0.890000
110/250  Test Acc = 0.910000
120/250  Test Acc = 0.900000
130/250  Test Acc = 0.950000
140/250  Test Acc = 0.910000
150/250  Test Acc = 0.890000
160/250  Test Acc = 0.860000
170/250  Test Acc = 0.910000
180/250  Test Acc = 0.900000
190/250  Test Acc = 0.940000
200/250  Test Acc = 0.920000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.970000
230/250  Test Acc = 0.890000
240/250  Test Acc = 0.900000
250/250  Test Acc = 0.960000
	Test cost = 0.233804,	Accuracy = 0.905320
Epoch = 7
10/250  Train Acc = 0.860000
20/250  Train Acc = 0.780000
30/250  Train Acc = 0.810000
40/250  Train Acc = 0.860000
50/250  Train Acc = 0.840000
60/250  Train Acc = 0.880000
70/250  Train Acc = 0.850000
80/250  Train Acc = 0.830000
90/250  Train Acc = 0.850000
100/250  Train Acc = 0.790000
110/250  Train Acc = 0.840000
120/250  Train Acc = 0.790000
130/250  Train Acc = 0.840000
140/250  Train Acc = 0.850000
150/250  Train Acc = 0.760000
160/250  Train Acc = 0.820000
170/250  Train Acc = 0.870000
180/250  Train Acc = 0.810000
190/250  Train Acc = 0.920000
200/250  Train Acc = 0.710000
210/250  Train Acc = 0.840000
220/250  Train Acc = 0.850000
230/250  Train Acc = 0.840000
240/250  Train Acc = 0.840000
250/250  Train Acc = 0.850000
	Train cost = 0.305826,	Accuracy = 0.829120
10/250  Test Acc = 0.940000
20/250  Test Acc = 0.890000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.870000
50/250  Test Acc = 0.870000
60/250  Test Acc = 0.890000
70/250  Test Acc = 0.880000
80/250  Test Acc = 0.900000
90/250  Test Acc = 0.860000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.890000
120/250  Test Acc = 0.890000
130/250  Test Acc = 0.940000
140/250  Test Acc = 0.910000
150/250  Test Acc = 0.870000
160/250  Test Acc = 0.870000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.880000
190/250  Test Acc = 0.940000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.980000
230/250  Test Acc = 0.920000
240/250  Test Acc = 0.880000
250/250  Test Acc = 0.940000
	Test cost = 0.241454,	Accuracy = 0.901800
Epoch = 8
10/250  Train Acc = 0.820000
20/250  Train Acc = 0.840000
30/250  Train Acc = 0.860000
40/250  Train Acc = 0.790000
50/250  Train Acc = 0.890000
60/250  Train Acc = 0.920000
70/250  Train Acc = 0.830000
80/250  Train Acc = 0.800000
90/250  Train Acc = 0.840000
100/250  Train Acc = 0.820000
110/250  Train Acc = 0.820000
120/250  Train Acc = 0.860000
130/250  Train Acc = 0.830000
140/250  Train Acc = 0.880000
150/250  Train Acc = 0.840000
160/250  Train Acc = 0.790000
170/250  Train Acc = 0.850000
180/250  Train Acc = 0.830000
190/250  Train Acc = 0.820000
200/250  Train Acc = 0.870000
210/250  Train Acc = 0.810000
220/250  Train Acc = 0.840000
230/250  Train Acc = 0.810000
240/250  Train Acc = 0.840000
250/250  Train Acc = 0.860000
	Train cost = 0.292207,	Accuracy = 0.833000
10/250  Test Acc = 0.960000
20/250  Test Acc = 0.890000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.850000
50/250  Test Acc = 0.880000
60/250  Test Acc = 0.930000
70/250  Test Acc = 0.880000
80/250  Test Acc = 0.910000
90/250  Test Acc = 0.870000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.900000
120/250  Test Acc = 0.870000
130/250  Test Acc = 0.920000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.880000
160/250  Test Acc = 0.870000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.890000
190/250  Test Acc = 0.940000
200/250  Test Acc = 0.920000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.970000
230/250  Test Acc = 0.900000
240/250  Test Acc = 0.880000
250/250  Test Acc = 0.930000
	Test cost = 0.251510,	Accuracy = 0.902160
Epoch = 9
10/250  Train Acc = 0.890000
20/250  Train Acc = 0.820000
30/250  Train Acc = 0.870000
40/250  Train Acc = 0.870000
50/250  Train Acc = 0.900000
60/250  Train Acc = 0.850000
70/250  Train Acc = 0.800000
80/250  Train Acc = 0.870000
90/250  Train Acc = 0.910000
100/250  Train Acc = 0.860000
110/250  Train Acc = 0.790000
120/250  Train Acc = 0.740000
130/250  Train Acc = 0.880000
140/250  Train Acc = 0.800000
150/250  Train Acc = 0.850000
160/250  Train Acc = 0.840000
170/250  Train Acc = 0.840000
180/250  Train Acc = 0.840000
190/250  Train Acc = 0.880000
200/250  Train Acc = 0.820000
210/250  Train Acc = 0.830000
220/250  Train Acc = 0.810000
230/250  Train Acc = 0.890000
240/250  Train Acc = 0.820000
250/250  Train Acc = 0.830000
	Train cost = 0.289210,	Accuracy = 0.837520
10/250  Test Acc = 0.960000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.860000
50/250  Test Acc = 0.890000
60/250  Test Acc = 0.920000
70/250  Test Acc = 0.900000
80/250  Test Acc = 0.830000
90/250  Test Acc = 0.870000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.900000
120/250  Test Acc = 0.900000
130/250  Test Acc = 0.930000
140/250  Test Acc = 0.920000
150/250  Test Acc = 0.890000
160/250  Test Acc = 0.860000
170/250  Test Acc = 0.900000
180/250  Test Acc = 0.860000
190/250  Test Acc = 0.940000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.930000
220/250  Test Acc = 0.960000
230/250  Test Acc = 0.910000
240/250  Test Acc = 0.910000
250/250  Test Acc = 0.940000
	Test cost = 0.243470,	Accuracy = 0.904920
Best Epoch = 6, Best MAE/ACC in Test = 0.905320
Written to results/parnn_drop_0.5_lamb_0.0_hid_128.txt
