nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
120/250  Test Acc = 0.420000
130/250  Test Acc = 0.360000
140/250  Test Acc = 0.450000
150/250  Test Acc = 0.460000
160/250  Test Acc = 0.530000
170/250  Test Acc = 0.400000
180/250  Test Acc = 0.530000
190/250  Test Acc = 0.610000
200/250  Test Acc = 0.610000
210/250  Test Acc = 0.390000
220/250  Test Acc = 0.450000
230/250  Test Acc = 0.520000
240/250  Test Acc = 0.450000
250/250  Test Acc = 0.430000
	Test cost = 1.432370,	Accuracy = 0.447400
Epoch = 6
10/250  Train Acc = 0.500000
20/250  Train Acc = 0.450000
30/250  Train Acc = 0.540000
40/250  Train Acc = 0.490000
50/250  Train Acc = 0.530000
60/250  Train Acc = 0.540000
70/250  Train Acc = 0.500000
80/250  Train Acc = 0.470000
90/250  Train Acc = 0.530000
100/250  Train Acc = 0.500000
110/250  Train Acc = 0.500000
120/250  Train Acc = 0.450000
130/250  Train Acc = 0.450000
140/250  Train Acc = 0.600000
150/250  Train Acc = 0.490000
160/250  Train Acc = 0.560000
170/250  Train Acc = 0.530000
180/250  Train Acc = 0.590000
190/250  Train Acc = 0.630000
200/250  Train Acc = 0.420000
210/250  Train Acc = 0.520000
220/250  Train Acc = 0.470000
230/250  Train Acc = 0.570000
240/250  Train Acc = 0.570000
250/250  Train Acc = 0.490000
	Train cost = 1.238888,	Accuracy = 0.509000
10/250  Test Acc = 0.410000
20/250  Test Acc = 0.530000
30/250  Test Acc = 0.510000
40/250  Test Acc = 0.470000
50/250  Test Acc = 0.500000
60/250  Test Acc = 0.570000
70/250  Test Acc = 0.340000
80/250  Test Acc = 0.490000
90/250  Test Acc = 0.470000
100/250  Test Acc = 0.480000
110/250  Test Acc = 0.450000
120/250  Test Acc = 0.430000
130/250  Test Acc = 0.340000
140/250  Test Acc = 0.420000
150/250  Test Acc = 0.430000
160/250  Test Acc = 0.510000
170/250  Test Acc = 0.390000
180/250  Test Acc = 0.550000
190/250  Test Acc = 0.580000
200/250  Test Acc = 0.570000
210/250  Test Acc = 0.370000
220/250  Test Acc = 0.450000
230/250  Test Acc = 0.520000
240/250  Test Acc = 0.480000
250/250  Test Acc = 0.430000
	Test cost = 1.448192,	Accuracy = 0.447760
Epoch = 7
10/250  Train Acc = 0.530000
20/250  Train Acc = 0.520000
30/250  Train Acc = 0.570000
40/250  Train Acc = 0.500000
50/250  Train Acc = 0.530000
60/250  Train Acc = 0.520000
70/250  Train Acc = 0.510000
80/250  Train Acc = 0.500000
90/250  Train Acc = 0.560000
100/250  Train Acc = 0.520000
110/250  Train Acc = 0.540000
120/250  Train Acc = 0.500000
130/250  Train Acc = 0.430000
140/250  Train Acc = 0.600000
150/250  Train Acc = 0.490000
160/250  Train Acc = 0.550000
170/250  Train Acc = 0.510000
180/250  Train Acc = 0.640000
190/250  Train Acc = 0.640000
