nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 2: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = True #class = 2 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
50/250  Train Acc = 0.940000
60/250  Train Acc = 0.910000
70/250  Train Acc = 0.960000
80/250  Train Acc = 0.930000
90/250  Train Acc = 0.930000
100/250  Train Acc = 0.930000
110/250  Train Acc = 0.970000
120/250  Train Acc = 0.930000
130/250  Train Acc = 0.940000
140/250  Train Acc = 0.910000
150/250  Train Acc = 0.960000
160/250  Train Acc = 1.000000
170/250  Train Acc = 0.940000
180/250  Train Acc = 0.910000
190/250  Train Acc = 0.940000
200/250  Train Acc = 0.910000
210/250  Train Acc = 0.940000
220/250  Train Acc = 0.920000
230/250  Train Acc = 0.920000
240/250  Train Acc = 0.920000
250/250  Train Acc = 0.940000
	Train cost = 0.162318,	Accuracy = 0.939200
10/250  Test Acc = 0.930000
20/250  Test Acc = 0.940000
30/250  Test Acc = 0.910000
40/250  Test Acc = 0.980000
50/250  Test Acc = 0.930000
60/250  Test Acc = 0.900000
70/250  Test Acc = 0.850000
80/250  Test Acc = 0.940000
90/250  Test Acc = 0.900000
100/250  Test Acc = 0.840000
110/250  Test Acc = 0.940000
120/250  Test Acc = 0.950000
130/250  Test Acc = 0.890000
140/250  Test Acc = 0.870000
150/250  Test Acc = 0.880000
160/250  Test Acc = 0.850000
170/250  Test Acc = 0.910000
180/250  Test Acc = 0.900000
190/250  Test Acc = 0.870000
200/250  Test Acc = 0.950000
210/250  Test Acc = 0.860000
220/250  Test Acc = 0.930000
230/250  Test Acc = 0.870000
240/250  Test Acc = 0.950000
250/250  Test Acc = 0.930000
	Test cost = 0.283124,	Accuracy = 0.895760
Epoch = 8
10/250  Train Acc = 0.920000
20/250  Train Acc = 0.940000
30/250  Train Acc = 0.930000
40/250  Train Acc = 0.990000
50/250  Train Acc = 0.950000
60/250  Train Acc = 0.900000
70/250  Train Acc = 0.940000
80/250  Train Acc = 0.940000
90/250  Train Acc = 0.940000
100/250  Train Acc = 0.940000
110/250  Train Acc = 0.970000
120/250  Train Acc = 0.940000
130/250  Train Acc = 0.950000
140/250  Train Acc = 0.920000
150/250  Train Acc = 0.960000
160/250  Train Acc = 1.000000
170/250  Train Acc = 0.930000
180/250  Train Acc = 0.920000
190/250  Train Acc = 0.900000
200/250  Train Acc = 0.940000
210/250  Train Acc = 0.940000
220/250  Train Acc = 0.910000
230/250  Train Acc = 0.960000
240/250  Train Acc = 0.930000
250/250  Train Acc = 0.910000
	Train cost = 0.147196,	Accuracy = 0.944800
10/250  Test Acc = 0.920000
20/250  Test Acc = 0.910000
30/250  Test Acc = 0.910000
40/250  Test Acc = 0.960000
50/250  Test Acc = 0.930000
60/250  Test Acc = 0.910000
70/250  Test Acc = 0.860000
80/250  Test Acc = 0.930000
90/250  Test Acc = 0.830000
100/250  Test Acc = 0.840000
110/250  Test Acc = 0.950000
120/250  Test Acc = 0.930000
130/250  Test Acc = 0.880000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.860000
160/250  Test Acc = 0.850000
170/250  Test Acc = 0.890000
180/250  Test Acc = 0.900000
190/250  Test Acc = 0.850000
200/250  Test Acc = 0.930000
210/250  Test Acc = 0.820000
220/250  Test Acc = 0.880000
230/250  Test Acc = 0.850000
240/250  Test Acc = 0.930000
250/250  Test Acc = 0.930000
	Test cost = 0.322951,	Accuracy = 0.881400
Epoch = 9
10/250  Train Acc = 0.920000
