nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = parnn + lstm lambda = 0.0 share = False #class = 2 drop = 0.1 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
150/250  Train Acc = 0.990000
160/250  Train Acc = 0.990000
170/250  Train Acc = 0.990000
180/250  Train Acc = 0.970000
190/250  Train Acc = 1.000000
200/250  Train Acc = 1.000000
210/250  Train Acc = 0.990000
220/250  Train Acc = 1.000000
230/250  Train Acc = 0.990000
240/250  Train Acc = 0.960000
250/250  Train Acc = 1.000000
	Train cost = 0.035791,	Accuracy = 0.986360
10/250  Test Acc = 0.930000
20/250  Test Acc = 0.900000
30/250  Test Acc = 0.900000
40/250  Test Acc = 0.840000
50/250  Test Acc = 0.840000
60/250  Test Acc = 0.850000
70/250  Test Acc = 0.930000
80/250  Test Acc = 0.870000
90/250  Test Acc = 0.940000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.880000
120/250  Test Acc = 0.830000
130/250  Test Acc = 0.900000
140/250  Test Acc = 0.860000
150/250  Test Acc = 0.850000
160/250  Test Acc = 0.930000
170/250  Test Acc = 0.860000
180/250  Test Acc = 0.880000
190/250  Test Acc = 0.890000
200/250  Test Acc = 0.880000
210/250  Test Acc = 0.840000
220/250  Test Acc = 0.880000
230/250  Test Acc = 0.840000
240/250  Test Acc = 0.900000
250/250  Test Acc = 0.880000
	Test cost = 0.500762,	Accuracy = 0.885880
Epoch = 9
10/250  Train Acc = 1.000000
20/250  Train Acc = 1.000000
30/250  Train Acc = 1.000000
40/250  Train Acc = 1.000000
50/250  Train Acc = 1.000000
60/250  Train Acc = 0.980000
70/250  Train Acc = 0.990000
80/250  Train Acc = 1.000000
90/250  Train Acc = 0.980000
100/250  Train Acc = 1.000000
110/250  Train Acc = 0.990000
120/250  Train Acc = 0.980000
130/250  Train Acc = 0.990000
140/250  Train Acc = 0.990000
150/250  Train Acc = 1.000000
160/250  Train Acc = 0.980000
170/250  Train Acc = 0.990000
180/250  Train Acc = 1.000000
190/250  Train Acc = 1.000000
200/250  Train Acc = 0.980000
210/250  Train Acc = 0.970000
220/250  Train Acc = 0.920000
230/250  Train Acc = 0.970000
240/250  Train Acc = 0.970000
250/250  Train Acc = 1.000000
	Train cost = 0.031541,	Accuracy = 0.988120
10/250  Test Acc = 0.910000
20/250  Test Acc = 0.890000
30/250  Test Acc = 0.890000
40/250  Test Acc = 0.840000
50/250  Test Acc = 0.840000
60/250  Test Acc = 0.800000
70/250  Test Acc = 0.890000
80/250  Test Acc = 0.890000
90/250  Test Acc = 0.930000
100/250  Test Acc = 0.880000
110/250  Test Acc = 0.890000
120/250  Test Acc = 0.850000
130/250  Test Acc = 0.920000
140/250  Test Acc = 0.830000
150/250  Test Acc = 0.850000
160/250  Test Acc = 0.900000
170/250  Test Acc = 0.850000
180/250  Test Acc = 0.810000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.880000
210/250  Test Acc = 0.830000
220/250  Test Acc = 0.850000
230/250  Test Acc = 0.840000
240/250  Test Acc = 0.880000
250/250  Test Acc = 0.860000
	Test cost = 0.552921,	Accuracy = 0.879520
Epoch = 10
10/250  Train Acc = 1.000000
20/250  Train Acc = 1.000000
30/250  Train Acc = 0.960000
40/250  Train Acc = 1.000000
50/250  Train Acc = 1.000000
60/250  Train Acc = 0.980000
70/250  Train Acc = 0.980000
80/250  Train Acc = 0.990000
90/250  Train Acc = 0.980000
100/250  Train Acc = 1.000000
110/250  Train Acc = 0.990000
120/250  Train Acc = 0.980000
130/250  Train Acc = 0.980000
140/250  Train Acc = 0.990000
150/250  Train Acc = 1.000000
160/250  Train Acc = 0.980000
170/250  Train Acc = 0.990000
180/250  Train Acc = 0.990000
190/250  Train Acc = 1.000000
200/250  Train Acc = 0.990000
210/250  Train Acc = 1.000000
220/250  Train Acc = 0.990000
230/250  Train Acc = 1.000000
240/250  Train Acc = 0.990000
250/250  Train Acc = 0.990000
	Train cost = 0.024332,	Accuracy = 0.990320
10/250  Test Acc = 0.900000
20/250  Test Acc = 0.890000
30/250  Test Acc = 0.870000
40/250  Test Acc = 0.880000
50/250  Test Acc = 0.900000
60/250  Test Acc = 0.870000
70/250  Test Acc = 0.930000
80/250  Test Acc = 0.870000
90/250  Test Acc = 0.920000
100/250  Test Acc = 0.870000
110/250  Test Acc = 0.870000
120/250  Test Acc = 0.840000
130/250  Test Acc = 0.900000
140/250  Test Acc = 0.830000
150/250  Test Acc = 0.860000
160/250  Test Acc = 0.910000
170/250  Test Acc = 0.880000
180/250  Test Acc = 0.880000
190/250  Test Acc = 0.880000
200/250  Test Acc = 0.840000
210/250  Test Acc = 0.850000
220/250  Test Acc = 0.890000
230/250  Test Acc = 0.860000
240/250  Test Acc = 0.930000
250/250  Test Acc = 0.860000
	Test cost = 0.554284,	Accuracy = 0.884160
Best Epoch = 2, Best MAE/ACC in Test = 0.908720
Written to results/parnn_drop_0.1_lamb_0.0_hid_128.txt
